pickup_date,trip_distance,fare_amount,tip_amount,PULocationID,DOLocationID,total_amount,payment_type
2002-12-31,0.0,0.0,0.0,193,193,0.0,1
2003-01-01,16.53,57.5,4.0,681,486,76.7,7
2003-01-03,0.0,0.0,0.0,193,193,0.0,1
2003-01-05,0.0,0.0,0.0,457,457,0.0,2
2003-01-09,0.0,2.5,0.01,193,193,4.31,1
2003-01-23,0.0,2.5,0.0,264,264,3.3,2
2003-01-29,0.0,0.0,0.0,264,264,0.0,1
2004-04-04,1.59,7.0,1.5,162,142,12.3,1
2008-12-31,280.96999999999997,1086.5,56.61,13706,15733,1459.06,152
2009-01-01,691.5,2816.5,172.98,33522,32928,3656.7000000000003,354
2009-01-02,15.64,51.0,0.0,263,408,66.9,4
2011-01-31,3.34,19.0,0.0,200,331,25.6,4
2011-02-01,3.9,21.0,2.36,374,313,29.96,3
2020-12-31,77.03,255.0,23.48,2128,2672,339.58,24
2021-01-01,88898.39,335898.16,49324.1,3941517,3818977,467086.16000000003,31199
2021-01-02,118084.46,463248.33,73595.75,5525867,5386697,650303.53,42266
2021-01-03,256863.6,389621.43,61016.29,4193641,4111992,538830.02,31942
2021-01-04,173239.43,581374.73,89524.4,7291748,7158170,825588.0700000001,53764
2021-01-05,189768.47,578827.35,90658.48,7708080,7547094,830567.6,56125
2021-01-06,240884.15,594061.99,94751.93,8210849,8014501,859778.3200000001,59134
2021-01-07,195386.65,614198.51,97070.96,8288145,8115220,886008.23,59924
2021-01-08,191455.15,598726.43,97396.36,8371088,8124424,871206.52,59857
2021-01-09,206128.63,486481.31,79627.29,6521032,6337012,695909.55,48090
2021-01-10,154014.62,394522.51,63838.37,4841573,4731062,556351.0,35726
2021-01-11,270988.52,566404.78,89736.55,7747865,7600625,816635.16,55697
2021-01-12,138608.04,599169.33,96574.83,8306895,8176745,868226.91,59267
2021-01-13,301407.39,598534.45,97935.61,8584467,8384102,873117.08,60010
2021-01-14,224538.68000000002,638710.7,102893.27,8846121,8637782,925183.8200000001,62600
2021-01-15,147232.6,637966.76,103356.83,8746852,8548232,924665.2000000001,62455
2021-01-16,373059.89,466008.13,76755.56,6335106,6138432,668848.28,46636
2021-01-17,104283.14,406864.38,65931.67,5204721,5080223,576767.92,38158
2021-01-18,113383.51,456433.47,74706.38,6134903,6008358,653267.58,43880
2021-01-19,193504.36,610072.22,95040.77,8560196,8377535,889278.46,60323
2021-01-20,274414.05,568852.46,89318.65,8255129,8083629,836173.93,58237
2021-01-21,172180.71,637643.65,98719.88,8913885,8736767,929307.27,63003
2021-01-22,146400.24,636711.91,99601.79,9044891,8817590,933129.18,63795
2021-01-23,116252.21,480034.68,78259.98,6969469,6756235,698308.62,50501
2021-01-24,100635.22,388791.41,61114.71,5051972,4942324,554128.97,36857
2021-01-25,132741.38,566675.78,84269.39,7909238,7767149,821057.0700000001,55989
2021-01-26,253458.31,549580.62,85030.76,7975905,7825723,805651.51,56025
2021-01-27,138517.61,609776.04,94869.9,8796963,8657371,894418.64,61833
2021-01-28,475658.39999999997,652826.53,102527.18,9436048,9224387,959114.49,66478
2021-01-29,534817.8400000001,631737.62,100579.93,9092416,8864592,929731.06,64231
2021-01-30,109427.44,453878.73,73368.98,6439044,6257817,657641.24,47019
2021-01-31,208459.49,375759.51,59945.29,5102867,4978404,539366.08,37031
2021-02-01,21066.24,96744.1,11252.13,1092382,1045155,130152.36,7921
2021-02-02,84613.36,346104.96,53624.21,4818152,4683923,502990.39,34743
2021-02-03,339054.21,694361.9,109071.53,9245054,9036363,1001227.8,64856
2021-02-04,164482.88,785200.05,118647.7,9932335,9655936,1117201.95,69059
2021-02-05,250357.41,723181.52,109288.28,9622631,9346621,1041396.58,67266
2021-02-06,136584.44,586649.59,96482.52,8246727,7999971,849422.04,59280
2021-02-07,316789.54000000004,337483.93,56269.94,4469322,4348295,486237.38,31774
2021-02-08,489021.68,635591.18,95878.01,8628602,8427909,916848.29,61002
2021-02-09,142574.7,638305.04,97221.19,8875271,8661204,923042.66,61572
2021-02-10,156212.76,721448.84,108347.22,9739938,9461201,1036861.0,67282
2021-02-11,158572.09,705992.05,111600.37,9832293,9595476,1029083.96,68601
2021-02-12,208063.57,777467.41,122942.91,10529744,10197984,1131851.31,74446
2021-02-13,357306.04,562050.72,91435.3,7907524,7671551,814403.24,57982
2021-02-14,119153.61,483166.42,76374.1,6423875,6250127,692746.24,47586
2021-02-15,120773.54,485459.1,76149.61,6670233,6511935,698125.06,48505
2021-02-16,368429.65,633164.52,95031.53,8554427,8381198,913410.53,60323
2021-02-17,306864.27,730556.91,113036.09,10111243,9848940,1060142.15,70945
2021-02-18,105465.52,445776.07,70273.13,6335019,6180439,652159.18,44628
2021-02-19,143800.95,606429.54,101480.63,8802526,8602220,899473.03,62198
2021-02-20,378241.36,591855.67,100090.68,8427460,8240777,864311.01,60978
2021-02-21,116990.63,462404.13,73652.09,6050303,5919252,661534.11,44109
2021-02-22,143079.17,615769.83,94438.65,8468763,8280460,891862.21,59230
2021-02-23,156218.91,689799.29,107157.57,9587019,9390247,1002568.4,67064
2021-02-24,288980.95,731673.37,113040.49,10127385,9852364,1060569.91,70217
2021-02-25,170207.88,766263.7,120120.33,10433867,10158353,1111262.44,72424
2021-02-26,299855.76,800157.09,119688.95,10959086,10654538,1154726.34,79924
2021-02-27,139019.89,572694.77,95620.06,8056811,7880879,833289.6,58103
2021-02-28,191904.39,470763.49,77010.04,6144354,5978524,675415.04,44594
2021-03-01,501761.13999999996,671587.24,101318.99,9139183,8958950,970716.5,64732
2021-03-02,256334.72999999998,728319.91,115134.26,10417715,10179852,1066016.8900000001,72784
2021-03-03,218852.12,759776.94,118120.68,10662160,10389568,1105674.17,74407
2021-03-04,330636.47000000003,789855.34,129367.47,11297165,11056098,1162846.79,78687
2021-03-05,192326.41,836390.39,134268.0,11628268,11327309,1223708.1400000001,81343
2021-03-06,247712.59,633064.05,109397.11,9130327,8879015,928215.11,64970
2021-03-07,126088.37,494864.62,80322.12,6432300,6251468,707911.45,45808
2021-03-08,412386.93,689892.7,105189.24,9450397,9238139,999191.1,66231
2021-03-09,319752.14,746516.76,114307.06,10479879,10225811,1084855.97,73274
2021-03-10,291595.14,780453.83,124304.87,10954798,10664649,1140563.74,75507
2021-03-11,281418.41,830091.07,131818.15,11485775,11215709,1211553.8,79927
2021-03-12,256943.11000000002,881227.08,142504.12,11904180,11606438,1287181.91,83961
2021-03-13,177401.97,718441.54,122030.21,9968702,9786977,1047065.43,72048
2021-03-14,138385.52,549251.47,90403.2,7196337,7044762,789407.9400000001,51983
2021-03-15,474037.81,739709.08,114822.99,10257941,10086369,1076518.45,72613
2021-03-16,302996.85,784243.64,123069.17,11044133,10796351,1144362.84,76728
2021-03-17,382066.36,839556.58,135317.77,12005836,11740675,1234252.92,83953
2021-03-18,384442.96,1257505.07,140832.43,11978740,11730552,1657824.99,83455
2021-03-19,260344.26,890398.58,146330.04,12393389,12098082,1308985.16,87603
2021-03-20,246631.96,743248.59,123551.22,10033976,9828502,1075803.3,73675
2021-03-21,149698.06,593288.9,93539.78,7319703,7179083,841764.59,53754
2021-03-22,339280.92,756498.58,113326.66,9951955,9693154,1088150.27,71408
2021-03-23,307791.59,773925.91,120555.16,10579589,10356907,1125300.03,75850
2021-03-24,249240.23,818627.76,131744.41,11462495,11205305,1201636.15,81093
2021-03-25,297785.56,856570.0,137284.41,11583241,11346572,1250456.96,83119
2021-03-26,319521.39,921040.3,148628.04,11992604,11753647,1342048.12,87227
2021-03-27,199165.26,836686.64,140585.89,10885278,10673553,1207385.11,80655
2021-03-28,136822.38,524457.58,84858.33,6514199,6406448,749072.11,48366
2021-03-29,235923.62,723574.83,110799.28,9577403,9389860,1048538.34,69662
2021-03-30,195174.38,834615.23,128809.7,11025855,10811530,1208608.1300000001,80023
2021-03-31,207889.52,831541.33,131156.07,11219553,10983536,1211692.72,80528
2021-04-01,443104.89,893299.55,143725.21,11955522,11678402,1304620.9,86620
2021-04-02,209979.55,884164.51,143410.06,11827501,11538536,1293156.98,86765
2021-04-03,279326.49,757076.99,124049.65,10012716,9816671,1090643.9,74853
2021-04-04,299567.54000000004,624238.59,99786.08,7458323,7325825,885045.71,55744
2021-04-05,401844.78,822638.85,124798.92,10391625,10216951,1179667.77,75301
2021-04-06,211863.74,901778.44,141532.11,11713273,11515124,1303333.79,83562
2021-04-07,470659.27,941780.9,147860.66,12426324,12189928,1365819.7,88781
2021-04-08,680794.51,989171.76,159353.45,12940622,12659489,1438518.18,91699
2021-04-09,639945.8099999999,998742.66,162123.95,13096845,12787776,1456681.51,93209
2021-04-10,286109.5,1245086.92,142290.63,11201353,11021813,1624349.41,81684
2021-04-11,157898.49,615986.32,101990.59,7775577,7654145,884875.64,56258
2021-04-12,432100.67,895659.58,140535.55,11762925,11567613,1298891.57,82660
2021-04-13,589746.3200000001,943543.4,148972.57,12418731,12209314,1368016.46,87601
2021-04-14,706036.0,959945.77,156675.99,12961843,12724538,1405293.47,90906
2021-04-15,324624.72,1001053.44,167369.13,13515876,13248899,1469649.56,93719
