pickup_date,trip_distance,fare_amount,tip_amount,PULocationID,DOLocationID,total_amount,payment_type
2001-01-01,36.38,114.5,3.5,878,1102,145.05,8
2001-08-23,7.08,22.5,0.0,132,76,24.55,2
2002-10-21,215.35999999999999,994.0,57.99,6914,6972,1197.49,67
2002-10-22,185.0,1619.16,90.97,11906,11744,1972.73,120
2002-10-23,253.59,1198.9,109.88,10748,10060,1556.28,104
2002-10-24,350.62,1502.3,76.42,9797,10854,1840.57,110
2002-10-25,218.56,1234.3,95.97,10469,10590,1533.42,109
2002-10-26,115.77,781.6,28.48,7450,5842,930.1800000000001,83
2002-10-27,300.13,1240.0,120.27,9125,9372,1580.67,113
2002-10-28,82.4,566.0,20.72,5523,5165,703.12,53
2002-12-31,12.37,52.0,9.46,386,473,74.61,3
2003-01-01,91.07000000000001,252.0,0.99,1164,932,303.78999999999996,15
2003-01-05,0.0,0.0,0.0,193,193,0.0,1
2008-12-31,260.59,943.0,171.57,5020,4989,1277.57,42
2009-01-01,149.62,672.0,57.06,6449,6458,931.11,63
2012-02-22,0.0,0.0,0.0,193,193,0.0,1
2021-12-31,79.74,294.5,60.55,3860,3001,437.5,31
2022-01-01,376599.13,927316.08,159859.81,10027121,9938562,1330638.29,79499
2022-01-02,362812.70999999996,934810.76,161585.27,9350206,9220339,1329446.47,73431
2022-01-03,557758.14,1038691.45,180016.53,11938913,11770650,1513871.22,90823
2022-01-04,258920.92,1004684.68,175805.78,12419918,12258839,1476121.01,92789
2022-01-05,441324.6,977559.68,172975.4,12450285,12237515,1443025.39,91956
2022-01-06,403197.75,997389.41,181383.38,13425383,13205246,1489668.14,97906
2022-01-07,216694.18,1268493.33,162625.68,11812731,11609292,1712217.66,86251
2022-01-08,261795.09,1039755.62,196726.84,13589508,13373388,1538964.97,99310
2022-01-09,374978.64,876439.95,162843.12,10332055,10239314,1281540.9,76604
2022-01-10,351410.94,933993.55,167981.36,12407798,12170638,1387224.21,89917
2022-01-11,630745.2000000001,927380.52,172256.22,13112577,12919756,1395534.42,93373
2022-01-12,230249.6,973877.14,182251.96,13594656,13376807,1463859.49,96689
2022-01-13,250479.51,1051842.83,196540.86,14288375,14065009,1577437.97,102081
2022-01-14,664598.72,1177462.93,223260.87,15636465,15317469,1773525.23,111789
2022-01-15,783467.99,1074457.79,209743.82,14402041,14193880,1608275.65,104432
2022-01-16,330350.29,935956.65,177401.41,11807171,11646944,1381919.28,85689
2022-01-17,316815.23,882172.42,165528.43,10465675,10349634,1294964.35,75639
2022-01-18,418357.98,1075590.35,201076.45,14288962,14087392,1606688.6,101524
2022-01-19,314548.33,1051819.27,196772.13,14651317,14435545,1580338.68,104391
2022-01-20,775370.92,1094037.7,210115.13,15307018,15083199,1655484.26,107100
2022-01-21,425555.77,1215091.27,235308.3,16910350,16600020,1840712.53,118386
2022-01-22,312184.58,1151841.05,222809.93,15809872,15556682,1721959.11,112663
2022-01-23,263306.87,1021805.98,193069.45,12445124,12333257,1503166.83,90093
2022-01-24,262881.96,986079.33,182721.61,13221499,13028881,1472686.97,94568
2022-01-25,244092.83,1053855.89,200317.92,14777514,14568006,1587978.92,104016
2022-01-26,478604.07,1155066.96,222154.39,16450832,16156618,1745617.25,114761
2022-01-27,357832.89999999997,1266650.68,240996.39,16926560,16564675,1893591.91,117744
2022-01-28,602088.91,1259925.76,237863.37,15986261,15673390,1871133.4,111975
2022-01-29,695062.73,391785.4,84356.34,5472012,5431976,596288.57,35882
