pickup_date,trip_distance,fare_amount,tip_amount,PULocationID,DOLocationID,ehail_fee,total_amount,payment_type
2008-12-31,15.81,90.3,6.95,1195,1523,0,112.65,11.0
2009-01-01,63.02,255.5,12.66,4294,4738,0,298.71,45.0
2010-09-23,5.05,112.5,0.01,679,617,0,115.21,7.0
2020-12-31,1.99,8.0,0.0,168,75,0,9.3,2.0
2021-01-01,5337.77,21609.32,2005.33,105570,132339,0,25312.43,917.0
2021-01-02,137525.07,35190.33,3498.58,197255,245489,0,41379.39,1746.0
2021-01-03,96001.77,25645.25,2653.44,139178,169726,0,30273.89,1078.0
2021-01-04,53938.46,58572.43,5958.14,323794,381494,0,69101.57,2070.0
2021-01-05,51789.5,61776.7,6239.61,332108,387124,0,72429.06,2089.0
2021-01-06,76617.79000000001,62190.62,6296.09,340148,403155,0,73453.28,2191.0
2021-01-07,22146.46,60782.39,6266.54,334441,389703,0,71680.06,2043.0
2021-01-08,701619.8,59096.68,5929.51,325230,375599,0,69764.14,2179.0
2021-01-09,88181.5,37470.66,3644.97,210961,257035,0,43967.04,1849.0
2021-01-10,6228.26,26397.38,2726.68,150333,190761,0,31459.22,1274.0
2021-01-11,167065.56,60756.23,6392.9,333003,396265,0,71979.49,2114.0
2021-01-12,30454.99,61512.96,6398.52,333563,398267,0,72755.92,2143.0
2021-01-13,215102.2,64058.85,6637.96,352187,405224,0,75721.51,2123.0
2021-01-14,14557.34,63102.63,6707.16,350938,414545,0,74750.8,2182.0
2021-01-15,13359.55,59552.43,6172.33,327423,379650,0,70424.23,2136.0
2021-01-16,35458.14,35073.86,3634.66,196718,241382,0,41567.340000000004,1771.0
2021-01-17,41516.27,28515.51,2942.1,153476,184090,0,33822.83,1207.0
2021-01-18,287817.31,39438.18,4095.05,209401,260122,0,46442.36,1394.0
2021-01-19,229064.05000000002,63394.98,3627.29,349533,412743,0,76565.57,1992.0
2021-01-20,25600.69,60778.14,2087.1,333525,396958,0,71919.58,1948.0
2021-01-21,165033.88,60339.77,2090.88,337482,397729,0,71226.54,2100.0
2021-01-22,17006.03,60822.76,2127.2,333475,396085,0,71694.89,2215.0
2021-01-23,8849.01,36384.19,1831.91,203839,248522,0,43073.29,1864.0
2021-01-24,6580.89,26327.92,1366.22,142331,182767,0,31375.32,1211.0
2021-01-25,83831.8,58260.57,1943.07,321422,378607,0,68673.5,1850.0
2021-01-26,73613.79,56526.909999999996,1967.02,300182,353756,0,66652.17,1814.0
2021-01-27,13682.83,61685.88,2197.27,345042,401531,0,72767.14,2080.0
2021-01-28,13431.01,60656.25,2495.42,330017,404284,0,72056.01,2253.0
2021-01-29,194224.25999999998,59749.28,2235.92,342331,399531,0,70697.85,2213.0
2021-01-30,184436.68,33691.97,1676.54,183423,225531,0,39599.6,1654.0
2021-01-31,66646.09,26382.84,1428.91,146753,189324,0,31302.73,1236.0
2021-02-01,1336.29,5950.58,254.58,31606,35014,0,6956.03,182.0
2021-02-02,4042.89,17174.53,1251.84,105497,134819,0,20822.63,1072.0
2021-02-03,112681.04,44678.87,2172.1,254424,298475,0,53007.43,1787.0
2021-02-04,14271.74,64529.71,2262.82,357440,400903,0,75932.13,2038.0
2021-02-05,12736.83,58456.52,2427.88,331017,384111,0,69213.19,2166.0
2021-02-06,8868.51,37868.33,1970.36,212078,260990,0,44722.81,1933.0
2021-02-07,4129.17,15759.55,1106.6,90834,116098,0,18973.64,858.0
2021-02-08,17937.65,53910.89,2178.78,293621,353980,0,63828.37,1966.0
2021-02-09,72939.68,55595.19,2150.07,305012,356551,0,65545.31,1962.0
2021-02-10,198426.03999999998,65012.93,2533.12,368511,424957,0,76957.05,2218.0
2021-02-11,63787.74,62627.27,2663.62,344147,401480,0,74357.19,2102.0
2021-02-12,189893.17,63792.13,2985.56,350442,413657,0,76000.72,2371.0
2021-02-13,9337.71,38369.14,2151.05,214648,260053,0,45665.840000000004,1888.0
2021-02-14,6455.25,26231.36,1675.19,147514,187774,0,31674.55,1359.0
2021-02-15,7287.79,31458.97,1746.54,192316,240615,0,37533.88,1660.0
2021-02-16,93656.84,57405.39,2257.24,317057,366357,0,68073.74,1898.0
2021-02-17,66633.98,63076.34,2406.22,343602,404177,0,74592.54,2085.0
2021-02-18,6397.3,27688.74,1404.27,165307,197034,0,33324.53,1137.0
2021-02-19,9025.96,40184.87,2246.26,240826,294270,0,48497.7,1963.0
2021-02-20,13438.34,36198.54,1954.63,202526,251174,0,42946.590000000004,1834.0
2021-02-21,6942.46,28629.36,1572.96,153253,193070,0,34004.1,1338.0
2021-02-22,13162.31,58222.43,1887.99,327882,368974,0,68440.81,1843.0
2021-02-23,44237.33,60361.58,2159.47,324418,379650,0,71359.39,1927.0
2021-02-24,14940.15,67239.25,2409.34,372735,424907,0,79219.71,2189.0
2021-02-25,64851.82,64889.98,2904.53,356833,412609,0,77166.96,2110.0
2021-02-26,14100.9,64706.76,2777.28,361453,413926,0,76660.21,2360.0
2021-02-27,8654.43,36495.41,2216.5,216062,259124,0,43360.04,1789.0
2021-02-28,79599.92,28994.14,1727.65,162309,201837,0,34601.98,1344.0
2021-03-01,14006.11,61849.84,2223.36,330645,379771,0,72745.83,1866.0
2021-03-02,13509.97,60419.94,2304.95,337918,389130,0,71300.46,1961.0
2021-03-03,13922.62,63358.79,2414.14,348189,412121,0,74852.35,2090.0
2021-03-04,86372.31,62203.47,2716.97,353540,413572,0,73814.56,2217.0
2021-03-05,109989.18,62906.5,2758.07,351219,400631,0,74636.59,2321.0
2021-03-06,9319.87,39655.27,2510.16,231999,282421,0,47204.41,1975.0
2021-03-07,7263.88,29279.92,1713.28,162396,202204,0,34923.43,1340.0
2021-03-08,79916.12,61973.75,2174.45,335969,395586,0,73047.62,2031.0
2021-03-09,54205.43,62326.53,2252.68,330516,389128,0,73409.39,2136.0
2021-03-10,14342.08,64813.52,2313.51,355635,416802,0,76121.01,2290.0
2021-03-11,74341.26999999999,64816.36,2485.49,354299,416696,0,76414.78,2202.0
2021-03-12,13250.2,61008.59,2408.39,332967,384252,0,71737.03,2144.0
2021-03-13,8770.64,37486.61,2313.33,203800,257644,0,44631.27,1774.0
2021-03-14,78282.04000000001,29235.3,1789.64,163829,198666,0,34861.53,1225.0
2021-03-15,13083.0,57057.86,1905.02,322023,370465,0,67235.89,1855.0
