pickup_date,trip_distance,fare_amount,tip_amount,PULocationID,DOLocationID,total_amount,payment_type
2008-12-31,5.36,30.5,0.0,267,235,32.3,3.0
2009-01-01,15.7,65.5,5.46,727,1135,81.16,8.0
2021-12-31,11.41,38.0,3.16,261,338,50.56,4.0
2022-01-01,66392.31999999999,20361.61,2493.06,128935,176497,25128.72,1620.0
2022-01-02,81294.44000000002,21448.61,2622.52,142460,206993,26851.77,1946.0
2022-01-03,167630.93000000002,30798.87,3508.97,226326,309744,38778.99,3102.0
2022-01-04,169057.66,30469.21,3621.09,205735,292301,38390.1,2815.0
2022-01-05,196094.41999999998,30853.43,3613.48,213736,307039,39222.21,2958.0
2022-01-06,127835.92,32090.35,3710.07,231819,320657,40544.07,3102.0
2022-01-07,154365.72,24111.9,3047.83,177031,246560,30888.03,2362.0
2022-01-08,46979.409999999996,26510.93,3264.98,180248,257165,33259.46,2467.0
2022-01-09,4252.46,19377.73,2369.04,138198,186379,24154.97,1790.0
2022-01-10,175170.79,28642.78,3365.08,203758,291414,36332.11,2841.0
2022-01-11,70908.03,30015.53,3774.58,216539,306851,38212.61,2886.0
2022-01-12,141468.84,29879.5,3530.83,206049,294478,37702.98,2735.0
2022-01-13,193897.1,33032.98,3722.86,220018,305417,41163.39,2896.0
2022-01-14,13180.76,35061.38,4192.78,239063,330854,44205.81,3118.0
2022-01-15,58568.97,27561.37,3352.78,186292,254679,34159.35,2317.0
2022-01-16,618699.92,22500.13,2827.41,159459,225036,27997.74,1927.0
2022-01-17,61282.39000000001,20526.95,2594.77,148460,219396,25994.12,1908.0
2022-01-18,127806.32999999999,29146.45,3397.14,215559,298296,36773.340000000004,2825.0
2022-01-19,171067.82,32154.19,3660.69,222608,316167,40436.43,3078.0
2022-01-20,236889.22999999998,31993.82,3910.94,230469,319458,40688.96,2948.0
2022-01-21,224554.52,35335.77,3977.21,250255,335812,44135.98,3164.0
2022-01-22,134551.83,26952.89,3331.68,189648,262629,33627.17,2492.0
2022-01-23,95122.39,23339.41,2970.29,160961,227121,29135.35,1963.0
2022-01-24,212869.57,31482.53,3597.77,226518,308254,39446.3,2867.0
2022-01-25,6373.05,31598.05,3554.49,226471,316032,39682.29,2884.0
2022-01-26,20494.24,33032.65,4099.76,239463,327910,41813.36,2942.0
2022-01-27,362314.94,37324.73,4176.27,260477,349793,46429.15,3203.0
2022-01-28,383314.51,35141.06,4345.08,240266,333827,44098.29,3000.0
2022-01-29,1254.58,5980.91,793.5,39816,52322,7314.46,344.0
2022-01-30,316847.64,19741.1,2705.93,142160,205530,24917.53,1645.0
2022-01-31,219008.34,33227.1,4010.25,233031,314190,41727.55,2770.0
2022-02-01,324678.01,34800.17,3994.02,238688,325042,43268.19,3010.0
2022-02-02,44779.54,36999.3,4277.87,255877,342086,46196.62,3142.0
2022-02-03,299601.63,38666.59,4606.93,268831,362600,48279.17,3326.0
2022-02-04,504353.6,38475.83,4971.95,275733,376652,48745.06,3350.0
2022-02-05,159633.35,38355.95,5221.76,268736,367019,48153.71,3144.0
2022-02-06,360844.7,24613.43,3263.62,175062,241071,30784.0,2120.0
2022-02-07,320030.16,33046.58,4026.24,239663,330582,41580.37,3041.0
2022-02-08,247823.41999999998,33824.85,4170.89,245569,329781,42744.840000000004,3041.0
2022-02-09,135485.4,34623.06,4287.87,242474,346161,43810.28,3168.0
2022-02-10,70657.59000000001,36868.340000000004,4515.45,261906,359399,46677.090000000004,3367.0
2022-02-11,64413.03,40164.36,5033.67,278684,378244,50819.68,3514.0
2022-02-12,63524.87,36217.97,5048.11,245046,343335,45714.73,3032.0
2022-02-13,79661.59,25407.91,3539.05,172317,246637,31998.66,2048.0
2022-02-14,288693.94,38097.45,4919.51,269307,378036,48454.31,3447.0
2022-02-15,6747.82,34618.28,4319.92,253593,346208,43965.5,3229.0
2022-02-16,218255.72,36834.39,4474.83,261156,363293,46584.97,3320.0
2022-02-17,474277.5,39832.22,5107.93,281260,388347,50586.9,3632.0
2022-02-18,627688.4500000001,41986.18,5654.1,282435,385411,53519.23,3641.0
2022-02-19,245313.45,33690.14,4703.11,232034,322387,42491.0,2882.0
2022-02-20,125313.06999999999,27995.5,3584.51,184726,259490,34955.81,2331.0
2022-02-21,108222.58,28247.99,3780.89,202717,286978,36062.38,2576.0
2022-02-22,563934.01,33540.68,4245.64,244732,340364,42963.22,3132.0
2022-02-23,323590.25,37969.03,4782.59,275300,380353,48305.57,3543.0
2022-02-24,213461.43000000002,37137.31,4915.68,269956,374427,47768.14,3467.0
2022-02-25,189611.29,36314.66,4849.63,254131,356177,46473.14,3172.0
2022-02-26,352158.04000000004,35075.42,4573.77,240288,327003,43848.74,2977.0
2022-02-27,6342.16,28712.6,3990.18,193895,280550,36463.93,2347.0
2022-02-28,253992.04,34474.98,4205.72,250675,343128,43441.15,3219.0
2022-03-01,108785.83000000002,35548.67,4315.8,255380,355842,44926.32,3310.0
2022-03-02,317905.24,36582.25,4476.05,260454,361589,46209.45,3306.0
2022-03-03,7984.69,40217.19,4799.15,279548,379873,50484.79,3545.0
2022-03-04,570659.97,39210.05,4803.99,276261,379088,49352.74,3462.0
2022-03-05,116552.09,32869.55,4372.72,225210,307598,41128.77,2868.0
2022-03-06,286764.94,28169.57,4048.35,190545,263501,35531.02,2231.0
2022-03-07,262738.98,35229.11,4189.06,243323,337345,44402.42,3154.0
2022-03-08,138718.06,38227.06,4653.85,265289,366000,48270.41,3341.0
2022-03-09,278172.27,38222.1,5222.11,271475,369867,48862.01,3284.0
2022-03-10,58602.92,41146.07,5404.61,276488,374617,52233.08,3509.0
2022-03-11,117070.03,43356.14,5879.86,294070,393823,55219.92,3568.0
2022-03-12,392789.34,31663.29,4474.47,227076,306784,40181.81,2700.0
2022-03-13,70912.93000000001,29579.420000000002,4351.2,201991,279946,37631.32,2382.0
2022-03-14,59757.68,34433.68,4243.49,230829,317060,43402.92,2996.0
2022-03-15,67863.34,33366.5,4319.36,232529,320834,42422.61,2905.0
2022-03-16,58024.83,37671.59,4421.71,256941,355699,47064.6,3291.0
2022-03-17,66691.73999999999,40186.28,5318.94,276340,368888,50915.24,3432.0
2022-03-18,33302.52,40579.86,6136.87,272125,373168,52122.78,3348.0
2022-03-19,88247.34,35074.78,4880.47,236936,321005,44166.1,2918.0
2022-03-20,207044.09,32236.35,4514.86,201267,282418,40475.21,2431.0
2022-03-21,326389.79,34163.47,4276.95,232476,323187,43197.97,2972.0
2022-03-22,133235.8,33643.74,4369.51,245701,342706,43089.0,3139.0
2022-03-23,8064.34,38895.33,5083.5,280770,382999,49652.98,3525.0
2022-03-24,176881.55,40729.7,5403.97,277489,382142,51841.87,3560.0
2022-03-25,393342.66,41261.81,5558.14,291744,389820,52717.2,3620.0
2022-03-26,134461.65,37470.96,5213.36,250239,338536,47249.77,3015.0
2022-03-27,144541.12,30747.13,4540.93,214821,293893,39187.46,2548.0
2022-03-28,104862.18000000001,36179.43,4731.72,263379,368028,46288.15,3196.0
2022-03-29,143599.74000000002,39372.75,4820.91,275101,389341,49768.36,3489.0
2022-03-30,207627.34999999998,36906.92,4809.64,266665,368705,47218.96,3396.0
2022-03-31,148475.12,39519.31,5020.99,270265,368366,50069.05,3287.0
2022-04-01,98040.01,41419.5,5653.1,283052,385877,52873.55,3517.0
2022-04-02,356708.31,36062.65,5013.27,237272,318265,45158.56,2904.0
2022-04-03,241009.78,28477.5,4567.31,195829,280251,36729.96,2385.0
2022-04-04,108850.54999999999,33431.87,4273.67,251228,337231,42439.79,3187.0
2022-04-05,206769.12,37251.82,4746.98,272088,374683,47441.3,3383.0
2022-04-06,85225.87,37201.74,5212.92,265930,356675,47776.26,3097.0
2022-04-07,258522.75999999998,41415.19,5759.33,292425,392114,52851.42,3355.0
2022-04-08,29674.309999999998,41932.77,5903.91,285362,385213,53419.83,3456.0
2022-04-09,224723.99,38452.38,5500.66,252393,348361,48433.69,2931.0
2022-04-10,254044.27000000002,32484.3,4783.67,213237,298248,41269.52,2455.0
2022-04-11,452416.07,33265.14,4411.46,238417,328208,42489.0,2938.0
2022-04-12,8897.53,43125.76,6062.15,284182,389136,54971.81,3260.0
2022-04-13,436263.08,42145.87,5294.91,281072,378823,52951.73,3342.0
2022-04-14,59841.18,40457.36,5229.05,282660,377715,51403.46,3398.0
2022-04-15,296806.14,38192.61,5443.43,253410,340995,48858.840000000004,3015.0
2022-04-16,255514.67,33918.38,4915.21,231206,318610,42780.44,2784.0
2022-04-17,243702.79,31445.13,4557.19,213251,299082,40034.67,2551.0
2022-04-18,272699.02999999997,34114.68,4588.88,245005,351458,43921.06,3090.0
2022-04-19,99375.2,37573.45,5090.57,265321,366196,48245.32,3295.0
2022-04-20,113478.87,38847.77,5459.76,261119,368386,50037.58,3256.0
2022-04-21,145430.96,38117.0,4964.48,262326,365839,48686.18,3239.0
2022-04-22,335689.39,37668.24,4983.93,259782,358546,48099.42,3244.0
2022-04-23,110218.49,41558.83,6065.05,280136,384795,52781.23,3174.0
2022-04-24,475371.75,33068.02,5056.69,222334,306083,42100.56,2524.0
2022-04-25,217004.06999999998,34761.22,4680.43,253341,341468,44509.55,3136.0
2022-04-26,56215.12,35586.84,4740.06,237389,332733,45285.74,2992.0
2022-04-27,694174.11,39617.15,5166.41,275270,373721,50289.36,3307.0
2022-04-28,203524.83000000002,40239.33,5396.18,263432,363472,51182.91,3174.0
2022-04-29,481980.25000000006,41252.61,5540.95,285207,381105,52216.16,3333.0
2022-04-30,237679.74999999997,38841.86,5670.2,246050,331711,48805.61,2886.0
2022-05-01,45032.56,35472.76,4800.74,230570,307154,44133.25,2482.0
2022-05-02,433606.07,26666.83,3731.14,185167,250663,34055.42,2009.0
2022-05-03,7765.28,37998.0,5191.98,257357,350474,48539.53,3180.0
2022-05-04,213323.37000000002,38407.27,5115.89,263161,368633,49083.51,3261.0
2022-05-05,410923.27,41295.17,5334.26,275829,382830,52296.03,3414.0
2022-05-06,179342.88,45367.02,6492.38,289253,397368,57799.2,3228.0
2022-05-07,242795.72,37490.41,5367.41,244805,335633,47126.32,2787.0
2022-05-08,171409.38,32477.13,4550.05,213860,295112,40916.18,2491.0
2022-05-09,207974.22,34941.62,4840.58,236595,342264,44726.33,3010.0
2022-05-10,243010.81,38033.1,4840.45,250983,352808,48127.45,3109.0
2022-05-11,119398.12999999999,38341.25,5075.76,256790,359383,48824.28,3196.0
2022-05-12,415383.94,43008.85,5864.77,285154,394558,54807.07,3436.0
2022-05-13,279698.02,45493.9,6237.19,288885,384647,57374.340000000004,3331.0
2022-05-14,603094.96,41872.32,5599.48,259513,349805,52143.3,2909.0
2022-05-15,121431.73999999999,37117.58,5519.3,230690,312802,46820.88,2460.0
2022-05-16,528758.67,37553.94,5242.05,262118,358552,48207.590000000004,3162.0
2022-05-17,794074.01,42432.46,5870.47,268526,373880,53869.41,3115.0
2022-05-18,238931.36000000002,44240.49,6024.0,274136,378012,55950.69,3257.0
2022-05-19,579424.48,44621.92,6009.57,282433,382486,56407.39,3205.0
2022-05-20,310043.49,45261.8,5964.59,277474,374734,56928.64,3246.0
2022-05-21,97533.36,44906.53,6500.78,272708,363853,56244.21,2880.0
2022-05-22,429221.17000000004,34372.47,5129.56,210590,290347,43454.73,2286.0
2022-05-23,518252.03,37646.99,4977.25,245052,339589,47627.14,2846.0
2022-05-24,537811.51,36429.94,4876.35,238956,343588,46518.94,2947.0
2022-05-25,191227.75999999998,39913.98,5406.71,255944,361271,50803.69,3166.0
2022-05-26,318030.29,40632.72,5394.51,276556,384079,51766.58,3437.0
2022-05-27,158056.90000000002,39430.08,5210.88,256530,349536,49624.21,3068.0
2022-05-28,349623.71,33331.95,4575.58,209077,278627,41478.13,2573.0
2022-05-29,147339.09,32313.38,4330.4,195465,270007,40279.38,2345.0
2022-05-30,6356.85,28973.75,4369.74,182426,265629,37170.840000000004,2132.0
2022-05-31,221567.11000000002,38819.32,5066.51,250478,350820,49170.08,3012.0
2022-06-01,8029.44,40829.78,5488.16,268410,371465,51760.44,3212.0
2022-06-02,138407.58000000002,41181.43,5513.72,266664,361364,51996.1,3138.0
2022-06-03,608050.6,39627.6,5206.33,249456,341206,49872.43,3003.0
2022-06-04,249003.37,31205.03,4175.42,207236,279607,38978.15,2461.0
2022-06-05,228789.23,30743.31,4479.6,197517,284779,38972.01,2378.0
2022-06-06,282644.97000000003,34571.59,4616.73,236711,334144,44256.1,2947.0
2022-06-07,199131.25999999998,36861.58,5079.66,250950,346194,47086.24,2973.0
2022-06-08,132408.38999999998,39903.48,5081.46,268880,371341,50441.39,3216.0
2022-06-09,166702.32,43009.05,5803.13,275227,384988,54532.13,3328.0
2022-06-10,381021.38000000006,45873.75,5842.4,288605,390464,57494.2,3409.0
2022-06-11,336955.11000000004,40230.77,5536.2,245847,333796,49937.52,2815.0
2022-06-12,447346.27999999997,34252.48,4644.12,212618,291944,42618.1,2394.0
2022-06-13,479542.2,37328.65,4893.25,250250,354943,47513.1,3040.0
2022-06-14,176460.84,39386.58,5311.46,259438,349125,49902.74,3043.0
2022-06-15,103355.22,43465.52,5811.19,283474,387563,55106.76,3337.0
2022-06-16,379571.69,45012.84,6038.95,283306,386146,56783.39,3264.0
2022-06-17,563566.13,46036.7,6075.85,286102,376100,57600.45,3197.0
2022-06-18,349162.45,36897.74,5016.61,226922,304707,45800.1,2709.0
2022-06-19,155462.58000000002,34280.28,4647.16,206316,284619,42641.54,2353.0
2022-06-20,208643.33000000002,32286.5,4787.61,221478,302636,41675.66,2454.0
2022-06-21,440615.25,37988.35,4958.56,252321,347388,48079.46,3006.0
2022-06-22,297596.48,39863.61,5578.36,256405,362497,50960.57,3076.0
2022-06-23,197862.7,42024.34,5875.63,274788,367213,53670.57,3313.0
2022-06-24,42378.490000000005,42914.04,5870.98,274446,369513,54391.57,3234.0
