ID,Fuel_Type_Code,Station_Name,Street_Address,City,State,ZIP,Status_Code,Groups_With_Access_Code,Geocode_Status,Latitude,Longitude,Country,Groups_With_Access_Code_French,Access_Code
108,CNG,Clean Energy - Greenpoint - National Grid,287 Maspeth Ave,Brooklyn,NY,11211,E,Public - Credit card at all times,200-8,40.718037,-73.932309,US,Public - Carte de crédit en tout temps,public
112,CNG,Canarsie - National Grid,8424 Ditmas Ave,Brooklyn,NY,11236,E,Public - Credit card at all times,200-8,40.64554,-73.918344,US,Public - Carte de crédit en tout temps,public
124,CNG,Con Edison - W 29th St Service Center,281 11th Ave,New York,NY,10001,E,Public - Card key at all times,200-9,40.752903,-74.005831,US,Public - Carte-clé en tout temps,public
125,CNG,Con Edison - E 16th St Service Center,700 E 16th St,New York,NY,10009,E,Public - Card key at all times,200-8,40.729175,-73.97331,US,Public - Carte-clé en tout temps,public
129,CNG,Con Edison - Van Nest Service Center,1615 Bronxdale Ave,Bronx,NY,10462,E,Public - Card key at all times,GPS,40.8441883,-73.8615724,US,Public - Carte-clé en tout temps,public
130,CNG,Con Edison - Rye Service Center,178 Theodore Fremd Ave,Rye,NY,10580,E,Public - Card key at all times,200-9,40.979001,-73.693048,US,Public - Carte-clé en tout temps,public
132,CNG,Con Edison - College Point Service Center,124-15 31st Ave,Queens,NY,11354,E,Public - Card key at all times,200-8,40.769623,-73.843069,US,Public - Carte-clé en tout temps,public
448,CNG,Clean Energy - Brentwood - National Grid,1650 Islip Ave,Brentwood,NY,11717,T,TEMPORARILY UNAVAILABLE (Public - Credit card at all times),200-8,40.785664,-73.219818,US,TEMPORAIREMENT SUSPENDU (Public - Carte de crédit en tout temps),public
449,CNG,Clean Energy - Hicksville - National Grid,175 E Old Country Rd,Hicksville,NY,11801,E,Public - Credit card at all times,200-8,40.766799,-73.509603,US,Public - Carte de crédit en tout temps,public
703,CNG,Clean Energy - Albany - National Grid,1125 Broadway,Menands,NY,12204,E,Public - Credit card at all times,200-9,42.667569,-73.739345,US,Public - Carte de crédit en tout temps,public
1252,CNG,Nassau Inter-County Express,700 Commercial Ave,Garden City,NY,11530,E,Private - Government only,200-9,40.72954,-73.6075,US,Privé - Réservé au gouvernement,private
13401,LPG,Combined Energy Services,276 E Broadway,Monticello,NY,12701,E,Public,200-9,41.651953,-74.672938,US,Public,public
13444,LPG,Irish Propane,70 Katherine St,Buffalo,NY,14210,E,Public,GPS,42.8601082048398,-78.85922572883605,US,Public,public
18898,CNG,Clean Energy - Riverhead - National Grid,117 Doctors Path,Riverhead,NY,11901,E,Public - Credit card at all times,200-9,40.940028,-72.652774,US,Public - Carte de crédit en tout temps,public
18900,CNG,Clean Energy - Hewlett - National Grid,455 Mill Rd,Valley Stream,NY,11581,E,Public - Credit card at all times,200-8,40.648881,-73.707638,US,Public - Carte de crédit en tout temps,public
21435,CNG,City of Rochester,945 Mt Read Blvd,Rochester,NY,14606,E,Private - Government only,200-9,43.169231,-77.661407,US,Privé - Réservé au gouvernement,private
28252,BD,"NY State Office of Parks, Recreation and Historic Preservation - Planting Fields Arboretum",Planting Fields Rd,Oyster Bay,NY,11771,E,Private - Government only,GPS,40.860392,-73.552931,US,Privé - Réservé au gouvernement,private
29571,BD,John Ray & Sons,2900 6th Ave,Troy,NY,12180,E,Public - Credit card after hours,200-9,42.745934,-73.681895,US,Public - Carte de crédit après les heures d'ouverture,public
30834,CNG,City of New York - Flushing Meadows Corona Park,11101 Corona Ave,Flushing,NY,11368,E,Private - Government only,200-8,40.74099,-73.849958,US,Privé - Réservé au gouvernement,private
32785,CNG,New York State Office of Parks - Recreation and Historic Preservation,1410 Buffalo Ave,Niagara Falls,NY,14303,E,Private - Government only,200-9,43.083477,-79.043775,US,Privé - Réservé au gouvernement,private
32837,CNG,Bronx Zoo,2300 Southern Blvd,Bronx,NY,10460,E,Private,200-9,40.850018,-73.878128,US,Privé,private
32838,CNG,Trillium - MTA New York City Transit - West Farms/Coliseum Depot,1100 E 177th St,Bronx,NY,10460,E,Private - Government only,200-8,40.838672,-73.877566,US,Privé - Réservé au gouvernement,private
32839,CNG,Trillium - MTA - Spring Creek,12755 Flatlands Ave,Brooklyn,NY,11208,E,Private - Government only,200-8,40.661038,-73.864438,US,Privé - Réservé au gouvernement,private
32840,CNG,Trillium - MTA New York City Transit - Jackie Gleason Bus Depot,871 5th Ave,Brooklyn,NY,11232,E,Private - Government only,GPS,40.6529,-74.0023,US,Privé - Réservé au gouvernement,private
33001,E85,Sunoco - McBirney's Auto Service,720 N Broadway,Massapequa,NY,11758,E,Public - Credit card after hours,200-9,40.692812,-73.464669,US,Public - Carte de crédit après les heures d'ouverture,public
33025,E85,Cumberland Farms #3132,511 Duanesburg Rd,Schenectady,NY,12306,E,Public,200-9,42.78657,-73.99777,US,Public,public
33393,E85,Joe's Quick Mart - Shell,1 N Broadway,Irvington,NY,10533,E,Public,200-9,41.039006,-73.865296,US,Public,public
33404,E85,Citgo,1020 Route 109,Lindenhurst,NY,11757,E,Public,200-9,40.715264,-73.393473,US,Public,public
33486,LPG,Ehrhart Propane & Oil,9787 State Route 96,Trumansburg,NY,14886,E,Public,GPS,42.5497889,-76.6744609,US,Public,public
33538,CNG,Trillium - MTA - College Point,128-15 28th Ave,Flushing,NY,11354,E,Private - Government only,200-8,40.773093,-73.839802,US,Privé - Réservé au gouvernement,private
33847,E85,New York State Thruway Authority,200 Southern Blvd,Albany,NY,12209,E,Private - Government only,200-8,42.629724,-73.776371,US,Privé - Réservé au gouvernement,private
33849,E85,Joe's Quick Mart - Shell,9 Haines Rd,Bedford Hills,NY,10507,E,Public,200-9,41.23846,-73.701367,US,Public,public
33851,E85,New York State Thruway Authority - Syracuse Section 6,6150 Tarbell Rd,Syracuse,NY,13206,E,Private - Government only,200-9,43.090389,-76.094177,US,Privé - Réservé au gouvernement,private
33854,E85,New York State Thruway Authority - Newburgh Maintenance,1309 Route 300,Newburgh,NY,12550,E,Private - Government only,200-8,41.509275,-74.06745,US,Privé - Réservé au gouvernement,private
33986,BD,New York State Thruway Authority - Larchmont Section 4,629 5th Ave,Larchmont,NY,10538,E,Private - Government only,200-8,40.931706,-73.766018,US,Privé - Réservé au gouvernement,private
33989,BD,New York State Thruway Authority - Nyack Section 5,201 N Route 303,West Nyack,NY,10994,E,Private - Government only,200-8,41.101648,-73.952196,US,Privé - Réservé au gouvernement,private
34216,E85,BP,67 Croton Point Ave,Croton-on-Hudson,NY,10520,E,Public,200-9,41.194311,-73.880944,US,Public,public
35060,CNG,Manhattan Beer,955 E 149th St,Bronx,NY,10455,E,Private,200-8,40.808151,-73.902589,US,Privé,private
35062,CNG,Long Beach Public Schools,659 Lido Blvd,Point Lookout,NY,11569,E,Private - Government only,GPS,40.59081575559057,-73.61398058095091,US,Privé - Réservé au gouvernement,private
35063,CNG,Manhattan Beer,401 Acorn St,Wyandanch,NY,11798,E,Private,200-8,40.755225,-73.357445,US,Privé,private
35317,CNG,American Natural Gas - National Fuel - Buffalo,365 Mineral Springs Rd,Buffalo,NY,14210,E,Public - Credit card at all times,200-8,42.861455,-78.800352,US,Public - Carte de crédit en tout temps,public
35318,CNG,Clean Energy - Town of Brookhaven,350 Horseblock Rd,Yaphank,NY,11980,E,Public - Credit card at all times,200-8,40.800178,-72.921177,US,Public - Carte de crédit en tout temps,public
35430,E85,Sunoco,4123 Middle Country Rd,Calverton,NY,11933,E,Public,200-9,40.927328,-72.764756,US,Public,public
35431,E85,BP,102 Lake Rd,Congers,NY,10920,E,Public,200-9,41.146978,-73.933908,US,Public,public
35432,E85,Shell - Water Mill Fuel Complex,960 Montauk Hwy,Water Mill,NY,11976,E,Public - Credit card after hours,200-9,40.915415,-72.348133,US,Public - Carte de crédit après les heures d'ouverture,public
35562,ELEC,New York State Energy Research Development Authority - Headquarters,17 Columbia Cir,Albany,NY,12203,E,Private,200-9,42.702424,-73.857693,US,Privé,private
35579,E85,Sunergy,1000 Hicksville Rd,Massapequa,NY,11758,E,Public,200-9,40.691422,-73.477561,US,Public,public
35614,E85,Eddie's Service Center - Citgo,753 E Main St,Kings Park,NY,11754,E,Public,200-9,40.882367,-73.220888,US,Public,public
35822,E85,Village Mobil,88 Wolf Rd,Albany,NY,12205,E,Public,200-9,42.715671,-73.81201,US,Public,public
35824,E85,Gasoline Heaven - Gulf,2088 Jericho Turnpike,Commack,NY,11725,E,Public,200-9,40.844044,-73.277126,US,Public,public
35825,E85,Glenmont Mobil,415 Route 9W,Glenmont,NY,12077,E,Public,GPS,42.601571,-73.792571,US,Public,public
