Fecha,Pasajeros_por_dia,Viajes_por_dia,Tarifario_por_dia,Total_recaudado_por_dia,Pago_con_tarjeta,Pago_con_efectivo,Tipo_de_Taxi
2022-01-01,96372,63441,927316.08,1330638.29,2124,44197,yellow
2022-01-02,86127,58421,934810.76,1329446.47,1048,42231,yellow
2022-01-03,99944,72405,1038691.45,1513871.22,1451,52229,yellow
2022-01-04,101120,74562,1004684.68,1476121.01,1509,54404,yellow
2022-01-05,100118,74592,977559.68,1443025.39,1654,54933,yellow
2022-01-06,107698,79909,997389.41,1489668.14,1652,59706,yellow
2022-01-07,98044,71590,1268493.33,1712217.66,1958,54002,yellow
2022-01-08,119897,83177,1039755.62,1538964.97,1802,64574,yellow
2022-01-09,91050,64014,876439.95,1281540.9,1352,49644,yellow
2022-01-10,96795,73692,933993.55,1387224.21,1677,55106,yellow
2022-01-11,101239,77603,927380.52,1395534.42,1964,58989,yellow
2022-01-12,105318,80352,973877.14,1463859.49,1854,61381,yellow
2022-01-13,112418,84952,1051842.83,1577437.97,1990,64957,yellow
2022-01-14,127169,93817,1177462.93,1773525.23,2458,72117,yellow
2022-01-15,125391,88704,1074457.79,1608275.65,2620,68920,yellow
2022-01-16,102306,72783,935956.65,1381919.28,2543,55765,yellow
2022-01-17,86198,63518,882172.42,1294964.35,1596,49117,yellow
2022-01-18,110367,84603,1075590.35,1606688.6,2061,64588,yellow
2022-01-19,113191,86640,1051819.27,1580338.68,2001,65998,yellow
2022-01-20,118269,90778,1094037.7,1655484.26,2496,70648,yellow
2022-01-21,134224,101054,1215091.27,1840712.53,3225,78517,yellow
2022-01-22,136139,96587,1151841.05,1721959.11,2950,75854,yellow
2022-01-23,106850,76914,1021805.98,1503166.83,2305,60127,yellow
2022-01-24,101780,78541,986079.33,1472686.97,2016,59559,yellow
2022-01-25,114259,87349,1053855.89,1587978.92,2185,67420,yellow
2022-01-26,125686,96747,1155066.96,1745617.25,2396,75210,yellow
2022-01-27,129632,99766,1266650.68,1893591.91,2710,77595,yellow
2022-01-28,126607,95873,1259925.76,1871133.4,3826,73355,yellow
2022-01-29,43003,34388,391785.4,596288.57,4384,24568,yellow
2022-01-30,96067,71229,973190.35,1423532.52,4220,54102,yellow
2022-01-31,40,21,410.0,589.23,0,19,yellow
2022-01-31,110764,85878,1179486.53,1733552.74,3476,65028,yellow
2022-02-01,18,6,109.5,149.92,0,4,yellow
2022-02-01,119797,92354,1222883.71,1806357.47,3172,70974,yellow
2022-02-02,119151,92576,1246508.86,1835765.71,3449,71063,yellow
