ID,Fuel Type Code,Station Name,City,State,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Geocode Status,Latitude,Longitude,NG Vehicle Class,EV Connector Types,Groups With Access Code (French),Access Detail Code,CNG Dispenser Num,CNG Vehicle Class,LNG Vehicle Class
108,CNG,Clean Energy - Greenpoint - National Grid,Brooklyn,NY,,,,,200-8,40.718037,-73.932309,HD,,Public - Carte de crédit en tout temps,CREDIT_CARD_ALWAYS,1.0,HD,
112,CNG,Canarsie - National Grid,Brooklyn,NY,,,,,200-8,40.64554,-73.918344,MD,,Public - Carte de crédit en tout temps,CREDIT_CARD_ALWAYS,1.0,MD,
124,CNG,Con Edison - W 29th St Service Center,New York,NY,,,,,200-9,40.752903,-74.005831,MD,,Public - Carte-clé en tout temps,KEY_ALWAYS,1.0,MD,
125,CNG,Con Edison - E 16th St Service Center,New York,NY,,,,,200-8,40.729175,-73.97331,MD,,Public - Carte-clé en tout temps,KEY_ALWAYS,1.0,MD,
129,CNG,Con Edison - Van Nest Service Center,Bronx,NY,,,,,GPS,40.8441883,-73.8615724,MD,,Public - Carte-clé en tout temps,KEY_ALWAYS,1.0,MD,
130,CNG,Con Edison - Rye Service Center,Rye,NY,,,,,200-9,40.979001,-73.693048,MD,,Public - Carte-clé en tout temps,KEY_ALWAYS,1.0,MD,
132,CNG,Con Edison - College Point Service Center,Queens,NY,,,,,200-8,40.769623,-73.843069,MD,,Public - Carte-clé en tout temps,KEY_ALWAYS,1.0,MD,
448,CNG,Clean Energy - Brentwood - National Grid,Brentwood,NY,,,,,200-8,40.785664,-73.219818,MD,,TEMPORAIREMENT SUSPENDU (Public - Carte de crédit en tout temps),CREDIT_CARD_ALWAYS,1.0,MD,
449,CNG,Clean Energy - Hicksville - National Grid,Hicksville,NY,,,,,200-8,40.766799,-73.509603,MD,,Public - Carte de crédit en tout temps,CREDIT_CARD_ALWAYS,1.0,MD,
703,CNG,Clean Energy - Albany - National Grid,Menands,NY,,,,,200-9,42.667569,-73.739345,MD,,Public - Carte de crédit en tout temps,CREDIT_CARD_ALWAYS,2.0,MD,
1252,CNG,Nassau Inter-County Express,Garden City,NY,,,,,200-9,40.72954,-73.6075,HD,,Privé - Réservé au gouvernement,GOVERNMENT,,HD,
13401,LPG,Combined Energy Services,Monticello,NY,,,,,200-9,41.651953,-74.672938,,,Public,,,,
13444,LPG,Irish Propane,Buffalo,NY,,,,,GPS,42.8601082048398,-78.85922572883605,,,Public,,,,
18898,CNG,Clean Energy - Riverhead - National Grid,Riverhead,NY,,,,,200-9,40.940028,-72.652774,MD,,Public - Carte de crédit en tout temps,CREDIT_CARD_ALWAYS,1.0,MD,
18900,CNG,Clean Energy - Hewlett - National Grid,Valley Stream,NY,,,,,200-8,40.648881,-73.707638,MD,,Public - Carte de crédit en tout temps,CREDIT_CARD_ALWAYS,1.0,MD,
21435,CNG,City of Rochester,Rochester,NY,,,,,200-9,43.169231,-77.661407,LD,,Privé - Réservé au gouvernement,GOVERNMENT,,LD,
28252,BD,"NY State Office of Parks, Recreation and Historic Preservation - Planting Fields Arboretum",Oyster Bay,NY,,,,,GPS,40.860392,-73.552931,,,Privé - Réservé au gouvernement,GOVERNMENT,,,
29571,BD,John Ray & Sons,Troy,NY,,,,,200-9,42.745934,-73.681895,,,Public - Carte de crédit après les heures d'ouverture,CREDIT_CARD_AFTER_HOURS,,,
30834,CNG,City of New York - Flushing Meadows Corona Park,Flushing,NY,,,,,200-8,40.74099,-73.849958,LD,,Privé - Réservé au gouvernement,GOVERNMENT,,LD,
32785,CNG,New York State Office of Parks - Recreation and Historic Preservation,Niagara Falls,NY,,,,,200-9,43.083477,-79.043775,MD,,Privé - Réservé au gouvernement,GOVERNMENT,,MD,
32837,CNG,Bronx Zoo,Bronx,NY,,,,,200-9,40.850018,-73.878128,MD,,Privé,,,MD,
32838,CNG,Trillium - MTA New York City Transit - West Farms/Coliseum Depot,Bronx,NY,,,,,200-8,40.838672,-73.877566,MD,,Privé - Réservé au gouvernement,GOVERNMENT,,MD,
32839,CNG,Trillium - MTA - Spring Creek,Brooklyn,NY,,,,,200-8,40.661038,-73.864438,HD,,Privé - Réservé au gouvernement,GOVERNMENT,,HD,
32840,CNG,Trillium - MTA New York City Transit - Jackie Gleason Bus Depot,Brooklyn,NY,,,,,GPS,40.6529,-74.0023,HD,,Privé - Réservé au gouvernement,GOVERNMENT,3.0,HD,
33001,E85,Sunoco - McBirney's Auto Service,Massapequa,NY,,,,,200-9,40.692812,-73.464669,,,Public - Carte de crédit après les heures d'ouverture,CREDIT_CARD_AFTER_HOURS,,,
33025,E85,Cumberland Farms #3132,Schenectady,NY,,,,,200-9,42.78657,-73.99777,,,Public,,,,
33393,E85,Joe's Quick Mart - Shell,Irvington,NY,,,,,200-9,41.039006,-73.865296,,,Public,,,,
33404,E85,Citgo,Lindenhurst,NY,,,,,200-9,40.715264,-73.393473,,,Public,,,,
33486,LPG,Ehrhart Propane & Oil,Trumansburg,NY,,,,,GPS,42.5497889,-76.6744609,,,Public,,,,
33538,CNG,Trillium - MTA - College Point,Flushing,NY,,,,,200-8,40.773093,-73.839802,HD,,Privé - Réservé au gouvernement,GOVERNMENT,,HD,
33847,E85,New York State Thruway Authority,Albany,NY,,,,,200-8,42.629724,-73.776371,,,Privé - Réservé au gouvernement,GOVERNMENT,,,
33849,E85,Joe's Quick Mart - Shell,Bedford Hills,NY,,,,,200-9,41.23846,-73.701367,,,Public,,,,
33851,E85,New York State Thruway Authority - Syracuse Section 6,Syracuse,NY,,,,,200-9,43.090389,-76.094177,,,Privé - Réservé au gouvernement,GOVERNMENT,,,
33854,E85,New York State Thruway Authority - Newburgh Maintenance,Newburgh,NY,,,,,200-8,41.509275,-74.06745,,,Privé - Réservé au gouvernement,GOVERNMENT,,,
33986,BD,New York State Thruway Authority - Larchmont Section 4,Larchmont,NY,,,,,200-8,40.931706,-73.766018,,,Privé - Réservé au gouvernement,GOVERNMENT,,,
33989,BD,New York State Thruway Authority - Nyack Section 5,West Nyack,NY,,,,,200-8,41.101648,-73.952196,,,Privé - Réservé au gouvernement,GOVERNMENT,,,
34216,E85,BP,Croton-on-Hudson,NY,,,,,200-9,41.194311,-73.880944,,,Public,,,,
35060,CNG,Manhattan Beer,Bronx,NY,,,,,200-8,40.808151,-73.902589,HD,,Privé,,,HD,
35062,CNG,Long Beach Public Schools,Point Lookout,NY,,,,,GPS,40.59081575559057,-73.61398058095091,HD,,Privé - Réservé au gouvernement,GOVERNMENT,,HD,
35063,CNG,Manhattan Beer,Wyandanch,NY,,,,,200-8,40.755225,-73.357445,HD,,Privé,,,HD,
35317,CNG,American Natural Gas - National Fuel - Buffalo,Buffalo,NY,,,,,200-8,42.861455,-78.800352,HD,,Public - Carte de crédit en tout temps,CREDIT_CARD_ALWAYS,2.0,HD,
