Fecha,Pasajeros_por_dia,Viajes_por_dia,Tarifario_por_dia,Total_recaudado_por_dia,Pago_con_tarjeta,Pago_con_efectivo,Tipo_de_Taxi
2022-01-01,1320,1273,20361.61,25128.72,568,508,green
2022-01-02,1739,1500,21448.61,26851.77,830,543,green
2022-01-03,2716,2332,30798.87,38778.99,1216,917,green
2022-01-04,2438,2165,30469.21,38390.1,1190,793,green
2022-01-05,2650,2259,30853.43,39222.21,1266,806,green
2022-01-06,2698,2352,32090.35,40544.07,1297,877,green
2022-01-07,2265,1832,24111.9,30888.03,989,672,green
2022-01-08,2155,1927,26510.93,33259.46,1040,700,green
2022-01-09,1601,1412,19377.73,24154.97,802,479,green
2022-01-10,2614,2140,28591.78,36273.36,1181,789,green
2022-01-10,5,5,51.0,58.75,0,5,green
2022-01-11,2618,2254,29990.03,38184.71,1267,770,green
2022-01-11,3,3,25.5,27.900000000000002,0,3,green
2022-01-12,1,1,7.5,8.3,0,1,green
2022-01-12,2446,2146,29872.0,37694.68,1219,738,green
2022-01-13,2627,2274,33032.98,41163.39,1232,802,green
2022-01-14,2857,2457,35061.38,44205.81,1357,853,green
2022-01-15,2058,1910,27561.37,34159.35,1025,617,green
2022-01-16,1762,1613,22500.13,27997.74,867,521,green
2022-01-17,1788,1547,20517.95,25984.32,896,490,green
2022-01-17,1,1,9.0,9.8,0,1,green
2022-01-18,2592,2191,29146.45,36773.340000000004,1205,777,green
2022-01-19,2741,2358,32149.69,40430.63,1263,872,green
2022-01-19,1,1,4.5,5.8,0,1,green
2022-01-20,2749,2351,31993.82,40688.96,1356,782,green
2022-01-21,2892,2538,35335.77,44135.98,1374,865,green
2022-01-22,2241,1972,26952.89,33627.17,1071,677,green
2022-01-23,1729,1628,23339.41,29135.35,952,484,green
2022-01-24,2483,2269,31482.53,39446.3,1196,805,green
2022-01-25,2,2,20.0,21.6,0,2,green
2022-01-25,2532,2277,31578.05,39660.69,1259,786,green
2022-01-26,2609,2372,33032.65,41813.36,1322,789,green
