,pickup_date,weekday,total_amount,row_count
0,2021-01-01,Viernes,467086.16,24827
1,2021-01-02,Sábado,650303.53,34309
2,2021-01-03,Domingo,538830.02,26345
3,2021-01-04,Lunes,825588.0700000001,44545
4,2021-01-05,Martes,830567.6,46880
5,2021-01-06,Miércoles,859778.3200000001,49547
6,2021-01-07,Jueves,886008.23,50290
7,2021-01-08,Viernes,871206.52,50477
8,2021-01-09,Sábado,695909.55,39911
9,2021-01-10,Domingo,556351.0,29855
10,2021-01-11,Lunes,816635.16,46849
11,2021-01-12,Martes,868226.91,50133
12,2021-01-13,Miércoles,873117.08,51306
13,2021-01-14,Jueves,925183.82,53051
14,2021-01-15,Viernes,924665.2,53024
15,2021-01-16,Sábado,668848.28,38723
16,2021-01-17,Domingo,576767.92,31985
17,2021-01-18,Lunes,653267.58,37092
18,2021-01-19,Martes,889278.46,51149
19,2021-01-20,Miércoles,836173.93,49437
20,2021-01-21,Jueves,929307.27,53280
21,2021-01-22,Viernes,933129.18,54285
22,2021-01-23,Sábado,698308.62,42054
23,2021-01-24,Domingo,554128.97,31033
24,2021-01-25,Lunes,821057.0700000001,47423
25,2021-01-26,Martes,805651.51,47818
26,2021-01-27,Miércoles,894418.64,52655
27,2021-01-28,Jueves,959114.49,56444
28,2021-01-29,Viernes,929731.06,54602
29,2021-01-30,Sábado,657641.24,39233
30,2021-01-31,Domingo,539195.22,31183
31,2021-02-01,Lunes,32.94,3
32,2021-02-22,Lunes,10.56,1
33,2021-09-30,Jueves,1201.07,62
34,2021-10-01,Viernes,2420482.84,117062
35,2021-10-02,Sábado,2237654.45,115086
36,2021-10-03,Domingo,1966996.77,91230
37,2021-10-04,Lunes,2001830.23,96858
38,2021-10-05,Martes,2090068.67,106648
39,2021-10-06,Miércoles,2258767.51,113020
40,2021-10-07,Jueves,2453635.76,118556
41,2021-10-08,Viernes,2491611.29,120242
42,2021-10-09,Sábado,2266199.09,116817
43,2021-10-10,Domingo,1935289.47,93850
44,2021-10-11,Lunes,1822223.26,86890
45,2021-10-12,Martes,2170632.56,108054
46,2021-10-13,Miércoles,2254944.36,112723
47,2021-10-14,Jueves,2493891.04,121767
48,2021-10-15,Viernes,2572622.19,124091
49,2021-10-16,Sábado,2335521.01,121955
50,2021-10-17,Domingo,2118439.79,100790
51,2021-10-18,Lunes,2133219.08,103856
52,2021-10-19,Martes,2197696.31,110716
53,2021-10-20,Miércoles,2372404.49,119077
54,2021-10-21,Jueves,2528948.33,122809
55,2021-10-22,Viernes,2530945.62,122858
56,2021-10-23,Sábado,2333060.25,119757
57,2021-10-24,Domingo,2077260.1,98929
58,2021-10-25,Lunes,2065891.59,99949
59,2021-10-26,Martes,2016505.19,101866
60,2021-10-27,Miércoles,2426612.47,119847
61,2021-10-28,Jueves,2587095.84,125607
62,2021-10-29,Viernes,2648874.43,130631
63,2021-10-30,Sábado,2308751.08,119589
64,2021-10-31,Domingo,2110420.7,102263
65,2021-11-01,Lunes,411.53,14
66,2021-11-16,Martes,30.6,2
67,2021-12-08,Miércoles,27.88,1
68,2021-10-31,Domingo,1011.85,47
69,2021-11-01,Lunes,2220274.32,106486
70,2021-11-02,Martes,2213131.68,115847
71,2021-11-03,Miércoles,2417255.02,121837
72,2021-11-04,Jueves,2608809.32,127917
73,2021-11-05,Viernes,2685987.21,129921
74,2021-11-06,Sábado,2522553.71,131460
75,2021-11-07,Domingo,2205981.45,100647
76,2021-11-08,Lunes,2273000.85,106822
77,2021-11-09,Martes,2419704.98,118745
78,2021-11-10,Miércoles,2630522.71,126617
79,2021-11-11,Jueves,2612379.53,123715
80,2021-11-12,Viernes,2626567.08,128010
81,2021-11-13,Sábado,2608377.29,132310
82,2021-11-14,Domingo,2365904.54,109696
83,2021-11-15,Lunes,2423519.64,114815
84,2021-11-16,Martes,2512578.1,122700
85,2021-11-17,Miércoles,2610318.96,126605
86,2021-11-18,Jueves,2792572.67,133377
87,2021-11-19,Viernes,2837751.47,135462
88,2021-11-20,Sábado,2636559.03,131453
89,2021-11-21,Domingo,2233377.22,105078
90,2021-11-22,Lunes,2314106.43,112469
91,2021-11-23,Martes,2538900.12,120235
92,2021-11-24,Miércoles,2264835.11,108408
93,2021-11-25,Jueves,1439736.15,70312
94,2021-11-26,Viernes,1779629.36,89887
95,2021-11-27,Sábado,2137334.24,104505
96,2021-11-28,Domingo,2052436.67,90990
97,2021-11-29,Lunes,2303880.47,107130
98,2021-11-30,Martes,2510560.48,119366
99,2021-12-01,Miércoles,621.52,21
100,2021-12-18,Sábado,34.68,3
101,2021-12-19,Domingo,76.39999999999999,2
102,2021-12-21,Martes,35.54,2
103,2021-11-30,Martes,1253.94,54
104,2021-12-01,Miércoles,2554847.58,121986
105,2021-12-02,Jueves,2739790.48,128647
