,Unnamed: 0,pickup_date,weekday,total_amount,row_count
0,0,2022-01-01,Sábado,1330638.29,63441
1,1,2022-01-02,Domingo,1329446.47,58421
2,2,2022-01-03,Lunes,1513871.22,72405
3,3,2022-01-04,Martes,1476121.01,74562
4,4,2022-01-05,Miércoles,1443025.39,74592
5,5,2022-01-06,Jueves,1489668.14,79909
6,6,2022-01-07,Viernes,1712217.66,71590
7,7,2022-01-08,Sábado,1538964.97,83177
8,8,2022-01-09,Domingo,1281540.9,64014
9,9,2022-01-10,Lunes,1387224.21,73692
10,10,2022-01-11,Martes,1395534.42,77603
11,11,2022-01-12,Miércoles,1463859.49,80352
12,12,2022-01-13,Jueves,1577437.97,84952
13,13,2022-01-14,Viernes,1773525.23,93817
14,14,2022-01-15,Sábado,1608275.65,88704
15,15,2022-01-16,Domingo,1381919.28,72783
16,16,2022-01-17,Lunes,1294964.35,63518
17,17,2022-01-18,Martes,1606688.6,84603
18,18,2022-01-19,Miércoles,1580338.68,86640
19,19,2022-01-20,Jueves,1655484.26,90778
20,20,2022-01-21,Viernes,1840712.53,101054
21,21,2022-01-22,Sábado,1721959.11,96587
22,22,2022-01-23,Domingo,1503166.83,76914
23,23,2022-01-24,Lunes,1472686.97,78541
24,24,2022-01-25,Martes,1587978.92,87349
25,25,2022-01-26,Miércoles,1745617.25,96747
26,26,2022-01-27,Jueves,1893591.91,99766
27,27,2022-01-28,Viernes,1871133.4,95873
28,28,2022-01-29,Sábado,596288.57,34388
29,29,2022-01-30,Domingo,1423532.52,71229
30,30,2022-01-31,Lunes,1733552.74,85878
31,31,2022-02-01,Martes,149.92,6
32,32,2022-02-22,Martes,14.76,1
33,33,2022-03-09,Miércoles,17.76,1
34,34,2022-03-15,Martes,40.620000000000005,3
35,35,2022-04-06,Miércoles,12.8,1
36,36,2022-05-18,Miércoles,24.76,2
37,0,2022-09-30,Viernes,1537.63,78
38,1,2022-10-01,Sábado,2443058.67,118049
39,2,2022-10-02,Domingo,2153460.0,95806
40,3,2022-10-03,Lunes,2357450.38,108671
41,4,2022-10-04,Martes,2337798.7,109671
42,5,2022-10-05,Miércoles,2389249.61,114764
43,6,2022-10-06,Jueves,2858637.75,123838
44,7,2022-10-07,Viernes,2861567.5,125029
45,8,2022-10-08,Sábado,2634054.38,122419
46,9,2022-10-09,Domingo,2347192.96,98213
47,10,2022-10-10,Lunes,2219863.13,94815
48,11,2022-10-11,Martes,2657266.33,119423
49,12,2022-10-12,Miércoles,2787058.44,124848
50,13,2022-10-13,Jueves,2905161.06,128716
51,14,2022-10-14,Viernes,2893454.57,127324
52,15,2022-10-15,Sábado,2736316.48,127002
53,16,2022-10-16,Domingo,2504736.62,108571
54,17,2022-10-17,Lunes,2517990.83,111867
55,18,2022-10-18,Martes,2750616.88,124694
56,19,2022-10-19,Miércoles,2897041.56,129781
57,20,2022-10-20,Jueves,2989746.91,132409
58,21,2022-10-21,Viernes,2949395.48,129437
59,22,2022-10-22,Sábado,2724284.62,128225
60,23,2022-10-23,Domingo,2440922.01,105866
61,24,2022-10-24,Lunes,2459864.96,111417
62,25,2022-10-25,Martes,2683187.07,123128
