,pickup_date,weekday,total_amount,row_count
0,2023-01-01,Domingo,2347474.51,76752
1,2023-01-02,Lunes,2033444.79,65777
2,2023-01-03,Martes,2488095.37,85783
3,2023-01-04,Miércoles,2645252.0,95092
4,2023-01-05,Jueves,2734582.83,101063
5,2023-01-06,Viernes,2713405.82,102550
6,2023-01-07,Sábado,2663632.38,105036
7,2023-01-08,Domingo,2405499.78,85056
8,2023-01-09,Lunes,2372112.11,85349
9,2023-01-10,Martes,2630358.62,99916
10,2023-01-11,Miércoles,2768538.41,106118
11,2023-01-12,Jueves,3059892.1,111386
12,2023-01-13,Viernes,3085231.0,110719
13,2023-01-14,Sábado,2924021.65,112950
14,2023-01-15,Domingo,2608082.32,96844
15,2023-01-16,Lunes,2297121.36,80120
16,2023-01-17,Martes,2815076.05,101052
17,2023-01-18,Miércoles,2860057.87,106152
18,2023-01-19,Jueves,3068876.8,114603
19,2023-01-20,Viernes,2927241.05,109444
20,2023-01-21,Sábado,2767060.01,111999
21,2023-01-22,Domingo,2451610.54,89651
22,2023-01-23,Lunes,2432855.02,89791
23,2023-01-24,Martes,2726300.03,103858
24,2023-01-25,Miércoles,2806736.28,109196
25,2023-01-26,Jueves,3100411.71,114877
26,2023-01-27,Viernes,2972187.57,111668
27,2023-01-28,Sábado,2764630.92,111645
28,2023-01-29,Domingo,2417267.6,88131
29,2023-01-30,Lunes,2309069.64,83768
30,2023-01-31,Martes,2667253.0,100372
31,2023-02-01,Miércoles,313.81,10
